GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22400426,1610612744,GSW,Golden State,1630228,Jonathan Kuminga,Jonathan,,,36:45,11.0,19.0,0.579,1.0,3.0,0.333,11.0,14.0,0.786,4.0,6.0,10.0,5.0,2.0,1.0,3.0,1.0,34.0,-5.0
22400431,1610612744,GSW,Golden State,1630228,Jonathan Kuminga,Jonathan,,,34:27,12.0,20.0,0.6,2.0,5.0,0.4,8.0,12.0,0.667,5.0,4.0,9.0,3.0,1.0,0.0,1.0,4.0,34.0,9.0
1522400070,1610612744,GSW,Golden State,1628995,Kevin Knox II,Kevin,,,30:17,12.0,17.0,0.706,5.0,10.0,0.5,2.0,2.0,1.0,2.0,9.0,11.0,1.0,0.0,2.0,0.0,6.0,31.0,0.0
42400233,1610612744,GSW,Golden State,1630228,Jonathan Kuminga,Jonathan,,,35:52,11.0,18.0,0.611,3.0,4.0,0.75,5.0,6.0,0.833,1.0,5.0,6.0,3.0,0.0,2.0,2.0,2.0,30.0,5.0
1322400002,1610612744,GSW,Golden State,1630679,Ethan Thompson,Ethan,,,21:47,10.0,15.0,0.667,3.0,6.0,0.5,4.0,4.0,1.0,1.0,6.0,7.0,1.0,1.0,0.0,1.0,0.0,27.0,23.0
22400084,1610612744,GSW,Golden State,1627741,Buddy Hield,Buddy,,,19:55,10.0,14.0,0.714,7.0,9.0,0.778,0.0,0.0,0.0,0.0,4.0,4.0,6.0,1.0,0.0,0.0,0.0,27.0,24.0
22400144,1610612744,GSW,Golden State,1627741,Buddy Hield,Buddy,,,32:01,9.0,14.0,0.643,6.0,10.0,0.6,3.0,4.0,0.75,1.0,6.0,7.0,2.0,1.0,1.0,3.0,2.0,27.0,-7.0
22400403,1610612744,GSW,Golden State,1630228,Jonathan Kuminga,Jonathan,,,29:52,9.0,16.0,0.563,2.0,3.0,0.667,6.0,9.0,0.667,4.0,4.0,8.0,4.0,0.0,1.0,1.0,0.0,26.0,-2.0
22400938,1610612744,GSW,Golden State,1627780,Gary Payton II,Gary,,,28:23,11.0,16.0,0.688,4.0,6.0,0.667,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,26.0,14.0
42400235,1610612744,GSW,Golden State,1630228,Jonathan Kuminga,Jonathan,,,32:14,11.0,23.0,0.478,3.0,9.0,0.333,1.0,3.0,0.333,1.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,26.0,-12.0
42400155,1610612744,GSW,Golden State,1630541,Moses Moody,Moses,,,25:56,9.0,18.0,0.5,3.0,7.0,0.429,4.0,4.0,1.0,5.0,4.0,9.0,2.0,2.0,1.0,0.0,2.0,25.0,6.0
22400144,1610612744,GSW,Golden State,1630228,Jonathan Kuminga,Jonathan,,,26:26,7.0,12.0,0.583,2.0,3.0,0.667,7.0,10.0,0.7,1.0,5.0,6.0,1.0,0.0,0.0,4.0,0.0,23.0,18.0
42400234,1610612744,GSW,Golden State,1630228,Jonathan Kuminga,Jonathan,,,29:31,6.0,13.0,0.462,0.0,2.0,0.0,11.0,12.0,0.917,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,23.0,-13.0
12400023,1610612744,GSW,Golden State,1627741,Buddy Hield,Buddy,,,19:24,8.0,9.0,0.889,6.0,7.0,0.857,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,22.0,13.0
22400072,1610612744,GSW,Golden State,1627741,Buddy Hield,Buddy,,,14:44,8.0,12.0,0.667,5.0,7.0,0.714,1.0,1.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,2.0,22.0,21.0
22400805,1610612744,GSW,Golden State,1627741,Buddy Hield,Buddy,,,25:45,8.0,11.0,0.727,5.0,8.0,0.625,1.0,1.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,3.0,22.0,8.0
22400875,1610612744,GSW,Golden State,1627741,Buddy Hield,Buddy,,,31:14,8.0,14.0,0.571,5.0,9.0,0.556,1.0,1.0,1.0,0.0,5.0,5.0,2.0,1.0,0.0,1.0,2.0,22.0,9.0
12400056,1610612744,GSW,Golden State,1630541,Moses Moody,Moses,,,19:05,7.0,14.0,0.5,5.0,8.0,0.625,2.0,2.0,1.0,3.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,21.0,17.0
22400116,1610612744,GSW,Golden State,1630322,Lindy Waters III,Lindy,,,30:34,8.0,13.0,0.615,3.0,7.0,0.429,2.0,2.0,1.0,3.0,5.0,8.0,4.0,1.0,0.0,0.0,3.0,21.0,26.0
22400126,1610612744,GSW,Golden State,1627741,Buddy Hield,Buddy,,,29:00,8.0,19.0,0.421,4.0,12.0,0.333,1.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,21.0,0.0
22400188,1610612744,GSW,Golden State,1630228,Jonathan Kuminga,Jonathan,,,29:05,7.0,14.0,0.5,3.0,7.0,0.429,4.0,6.0,0.667,1.0,4.0,5.0,5.0,2.0,1.0,3.0,2.0,21.0,-4.0
22401228,1610612744,GSW,Golden State,203110,Draymond Green,Draymond,,,29:25,6.0,14.0,0.429,5.0,9.0,0.556,4.0,4.0,1.0,3.0,4.0,7.0,4.0,0.0,0.0,4.0,1.0,21.0,4.0
22400366,1610612744,GSW,Golden State,1641764,Brandin Podziemski,Brandin,,,25:18,9.0,13.0,0.692,2.0,5.0,0.4,1.0,2.0,0.5,2.0,2.0,4.0,6.0,2.0,0.0,0.0,0.0,21.0,-8.0
22400155,1610612744,GSW,Golden State,1627741,Buddy Hield,Buddy,,,27:39,7.0,14.0,0.5,3.0,8.0,0.375,3.0,4.0,0.75,0.0,5.0,5.0,2.0,2.0,1.0,0.0,2.0,20.0,14.0
22400207,1610612744,GSW,Golden State,1630228,Jonathan Kuminga,Jonathan,,,26:22,8.0,11.0,0.727,2.0,4.0,0.5,2.0,3.0,0.667,1.0,4.0,5.0,1.0,0.0,1.0,2.0,2.0,20.0,7.0
22400467,1610612744,GSW,Golden State,1630228,Jonathan Kuminga,Jonathan,,,25:23,8.0,11.0,0.727,2.0,3.0,0.667,2.0,3.0,0.667,0.0,5.0,5.0,5.0,1.0,0.0,1.0,2.0,20.0,25.0
22400628,1610612744,GSW,Golden State,1642366,Quinten Post,Quinten,,,19:44,7.0,12.0,0.583,5.0,10.0,0.5,1.0,1.0,1.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,4.0,20.0,13.0
22400661,1610612744,GSW,Golden State,1641764,Brandin Podziemski,Brandin,,,32:27,5.0,12.0,0.417,4.0,11.0,0.364,6.0,6.0,1.0,0.0,7.0,7.0,6.0,1.0,0.0,3.0,1.0,20.0,19.0
22400938,1610612744,GSW,Golden State,1627741,Buddy Hield,Buddy,,,25:00,7.0,10.0,0.7,6.0,9.0,0.667,0.0,0.0,0.0,2.0,0.0,2.0,7.0,2.0,1.0,3.0,2.0,20.0,16.0
