GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22400144,1610612745,HOU,Houston,1631106,Tari Eason,Tari,,,35:20,11.0,19.0,0.579,3.0,5.0,0.6,2.0,4.0,0.5,6.0,3.0,9.0,1.0,4.0,3.0,3.0,5.0,27.0,11.0
22400144,1610612745,HOU,Houston,1641708,Amen Thompson,Amen,,,33:42,8.0,15.0,0.533,0.0,2.0,0.0,2.0,4.0,0.5,3.0,8.0,11.0,4.0,1.0,0.0,0.0,2.0,18.0,0.0
42400156,1610612745,HOU,Houston,203500,Steven Adams,Steven,,,31:03,4.0,4.0,1.0,0.0,0.0,0.0,9.0,16.0,0.563,3.0,2.0,5.0,0.0,1.0,3.0,0.0,1.0,17.0,15.0
22401143,1610612745,HOU,Houston,1631095,Jabari Smith Jr.,Jabari,,,27:06,7.0,10.0,0.7,2.0,5.0,0.4,0.0,0.0,0.0,3.0,6.0,9.0,1.0,0.0,0.0,3.0,2.0,16.0,9.0
22400332,1610612745,HOU,Houston,1641708,Amen Thompson,Amen,,,22:05,5.0,13.0,0.385,2.0,5.0,0.4,2.0,4.0,0.5,2.0,6.0,8.0,0.0,0.0,1.0,0.0,0.0,14.0,3.0
42400152,1610612745,HOU,Houston,1631106,Tari Eason,Tari,,,24:19,6.0,9.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,6.0,1.0,0.0,0.0,1.0,2.0,14.0,-4.0
22400784,1610612745,HOU,Houston,1629111,Jock Landale,Jock,,,15:48,6.0,9.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,3.0,5.0,8.0,1.0,1.0,0.0,0.0,1.0,13.0,15.0
42400153,1610612745,HOU,Houston,1631095,Jabari Smith Jr.,Jabari,,,25:37,4.0,8.0,0.5,3.0,5.0,0.6,1.0,2.0,0.5,1.0,4.0,5.0,0.0,0.0,2.0,1.0,0.0,12.0,-8.0
22400784,1610612745,HOU,Houston,1631466,Nate Williams,Nate,,,18:18,5.0,9.0,0.556,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,11.0,16.0
42400151,1610612745,HOU,Houston,1631095,Jabari Smith Jr.,Jabari,,,25:26,3.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,6.0,0.0,1.0,1.0,4.0,3.0,11.0,-6.0
22401204,1610612745,HOU,Houston,1641708,Amen Thompson,Amen,,,29:13,5.0,7.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,3.0,1.0,2.0,1.0,1.0,10.0,6.0
22400784,1610612745,HOU,Houston,201145,Jeff Green,Jeff,,,21:28,3.0,10.0,0.3,2.0,8.0,0.25,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,10.0,4.0
22401204,1610612745,HOU,Houston,1631106,Tari Eason,Tari,,,24:29,4.0,7.0,0.571,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,7.0,1.0,0.0,0.0,0.0,3.0,9.0,4.0
42400155,1610612745,HOU,Houston,1631106,Tari Eason,Tari,,,19:16,4.0,5.0,0.8,1.0,2.0,0.5,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,3.0,4.0,9.0,-13.0
42400155,1610612745,HOU,Houston,1628988,Aaron Holiday,Aaron,,,16:24,3.0,6.0,0.5,1.0,3.0,0.333,2.0,4.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,9.0,-6.0
42400153,1610612745,HOU,Houston,1631106,Tari Eason,Tari,,,18:56,3.0,9.0,0.333,1.0,5.0,0.2,1.0,2.0,0.5,1.0,5.0,6.0,0.0,0.0,2.0,1.0,3.0,8.0,1.0
42400153,1610612745,HOU,Houston,203500,Steven Adams,Steven,,,18:09,2.0,2.0,1.0,0.0,0.0,0.0,4.0,6.0,0.667,4.0,2.0,6.0,2.0,1.0,0.0,1.0,0.0,8.0,1.0
42400156,1610612745,HOU,Houston,1631106,Tari Eason,Tari,,,16:06,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,1.0,0.0,2.0,8.0,2.0
42400156,1610612745,HOU,Houston,1631095,Jabari Smith Jr.,Jabari,,,18:38,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,8.0,9.0
22400332,1610612745,HOU,Houston,1642263,Reed Sheppard,Reed,,,12:38,2.0,6.0,0.333,1.0,5.0,0.2,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,2.0,7.0,6.0
42400155,1610612745,HOU,Houston,1631095,Jabari Smith Jr.,Jabari,,,15:09,2.0,6.0,0.333,1.0,5.0,0.2,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,7.0,-6.0
22400144,1610612745,HOU,Houston,1628988,Aaron Holiday,Aaron,,,16:24,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,6.0,19.0
22400332,1610612745,HOU,Houston,203500,Steven Adams,Steven,,,17:34,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,3.0,0.0,1.0,0.0,2.0,6.0,10.0
22400784,1610612745,HOU,Houston,1641715,Cam Whitmore,Cam,,,10:24,2.0,7.0,0.286,1.0,4.0,0.25,1.0,2.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,-8.0
42400151,1610612745,HOU,Houston,1631106,Tari Eason,Tari,,,20:54,3.0,10.0,0.3,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,1.0,1.0,0.0,6.0,-4.0
42400151,1610612745,HOU,Houston,203500,Steven Adams,Steven,,,19:30,3.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,0.0,5.0,7.0,12.0,1.0,0.0,0.0,1.0,0.0,6.0,4.0
42400154,1610612745,HOU,Houston,1631095,Jabari Smith Jr.,Jabari,,,22:26,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,6.0,6.0
42400152,1610612745,HOU,Houston,1631095,Jabari Smith Jr.,Jabari,,,23:51,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0
42400154,1610612745,HOU,Houston,203500,Steven Adams,Steven,,,26:24,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,5.0,2.0,7.0,0.0,0.0,4.0,2.0,4.0,5.0,16.0
42400157,1610612745,HOU,Houston,1631106,Tari Eason,Tari,,,15:52,2.0,6.0,0.333,1.0,2.0,0.5,0.0,2.0,0.0,1.0,4.0,5.0,1.0,0.0,2.0,2.0,0.0,5.0,-12.0
22400144,1610612745,HOU,Houston,1641715,Cam Whitmore,Cam,,,4:55,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,-9.0
22401143,1610612745,HOU,Houston,1631106,Tari Eason,Tari,,,19:48,2.0,7.0,0.286,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,-1.0
22400144,1610612745,HOU,Houston,1629111,Jock Landale,Jock,,,5:19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0
22400144,1610612745,HOU,Houston,1642263,Reed Sheppard,Reed,,,7:11,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,10.0
22400332,1610612745,HOU,Houston,1628988,Aaron Holiday,Aaron,,,13:51,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,-4.0
22400784,1610612745,HOU,Houston,1630256,Jae'Sean Tate,Jae'Sean,,,26:34,1.0,5.0,0.2,1.0,2.0,0.5,0.0,2.0,0.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0,4.0,3.0,11.0
22401143,1610612745,HOU,Houston,1628988,Aaron Holiday,Aaron,,,10:42,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,-2.0
42400154,1610612745,HOU,Houston,1631106,Tari Eason,Tari,,,16:43,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,0.75,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0
42400155,1610612745,HOU,Houston,201145,Jeff Green,Jeff,,,1:43,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0
42400156,1610612745,HOU,Houston,1628988,Aaron Holiday,Aaron,,,5:34,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,-8.0
42400157,1610612745,HOU,Houston,203500,Steven Adams,Steven,,,25:44,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,2.0,5.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,-9.0
42400157,1610612745,HOU,Houston,1631095,Jabari Smith Jr.,Jabari,,,12:08,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,-9.0
22401204,1610612745,HOU,Houston,1628988,Aaron Holiday,Aaron,,,11:41,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0
22401143,1610612745,HOU,Houston,203500,Steven Adams,Steven,,,16:52,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,1.0,0.0,2.0,0.0,1.0,2.0,7.0
42400155,1610612745,HOU,Houston,1629111,Jock Landale,Jock,,,4:51,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-12.0
42400152,1610612745,HOU,Houston,203500,Steven Adams,Steven,,,16:48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0
22400144,1610612745,HOU,Houston,201145,Jeff Green,Jeff,,,3:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.0
22400784,1610612745,HOU,Houston,203500,Steven Adams,Steven,,,5:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,-3.0
22400784,1610612745,HOU,Houston,1642263,Reed Sheppard,Reed,,,5:09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0
22401143,1610612745,HOU,Houston,1631466,Nate Williams,Nate,,,1:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
22401143,1610612745,HOU,Houston,1641715,Cam Whitmore,Cam,,,1:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.0
22401143,1610612745,HOU,Houston,1642263,Reed Sheppard,Reed,,,1:07,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
22401143,1610612745,HOU,Houston,1630256,Jae'Sean Tate,Jae'Sean,,,1:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
42400152,1610612745,HOU,Houston,1628988,Aaron Holiday,Aaron,,,5:12,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
42400152,1610612745,HOU,Houston,201145,Jeff Green,Jeff,,,2:00,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
42400152,1610612745,HOU,Houston,1641715,Cam Whitmore,Cam,,,2:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
42400152,1610612745,HOU,Houston,1631466,Nate Williams,Nate,,,2:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
42400152,1610612745,HOU,Houston,1642263,Reed Sheppard,Reed,,,2:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
42400155,1610612745,HOU,Houston,203500,Steven Adams,Steven,,,17:09,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,15.0
42400155,1610612745,HOU,Houston,1642263,Reed Sheppard,Reed,,,6:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,-15.0
42400155,1610612745,HOU,Houston,1631466,Nate Williams,Nate,,,1:43,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0
42400155,1610612745,HOU,Houston,1641715,Cam Whitmore,Cam,,,1:43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
42400156,1610612745,HOU,Houston,1641715,Cam Whitmore,Cam,,,1:32,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0
42400156,1610612745,HOU,Houston,201145,Jeff Green,Jeff,,,1:32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0
42400156,1610612745,HOU,Houston,1631466,Nate Williams,Nate,,,1:14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.0
42400156,1610612745,HOU,Houston,1642263,Reed Sheppard,Reed,,,1:14,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
22400144,1610612745,HOU,Houston,1630256,Jae'Sean Tate,Jae'Sean,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400332,1610612745,HOU,Houston,201145,Jeff Green,Jeff,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400332,1610612745,HOU,Houston,1629111,Jock Landale,Jock,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400332,1610612745,HOU,Houston,1629098,Jack McVeigh,Jack,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400332,1610612745,HOU,Houston,1630256,Jae'Sean Tate,Jae'Sean,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22401204,1610612745,HOU,Houston,203500,Steven Adams,Steven,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22401204,1610612745,HOU,Houston,201145,Jeff Green,Jeff,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22401204,1610612745,HOU,Houston,1629111,Jock Landale,Jock,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22401204,1610612745,HOU,Houston,1642263,Reed Sheppard,Reed,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
