GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22400251,1610612746,LAC,LA,1629599,Amir Coffey,Amir,,,29:07,3.0,8.0,0.375,2.0,6.0,0.333,7.0,8.0,0.875,2.0,3.0,5.0,1.0,0.0,1.0,2.0,4.0,15.0,-3.0
12400004,1610612746,LAC,LA,1641738,Kobe Brown,Kobe,,,27:04,5.0,10.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,2.0,7.0,9.0,1.0,2.0,0.0,1.0,3.0,11.0,-3.0
22400426,1610612746,LAC,LA,1629599,Amir Coffey,Amir,,,25:38,3.0,7.0,0.429,3.0,5.0,0.6,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,11.0,-1.0
22400251,1610612746,LAC,LA,1629611,Terance Mann,Terance,,,22:49,4.0,10.0,0.4,2.0,6.0,0.333,0.0,0.0,0.0,1.0,4.0,5.0,6.0,2.0,0.0,0.0,2.0,10.0,10.0
22400251,1610612746,LAC,LA,201587,Nicolas Batum,Nicolas,,,20:24,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,9.0,4.0
22400101,1610612746,LAC,LA,1629599,Amir Coffey,Amir,,,19:44,3.0,5.0,0.6,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0
22400251,1610612746,LAC,LA,1629645,Kevin Porter Jr.,Kevin,,,15:56,3.0,9.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,8.0,-4.0
12400004,1610612746,LAC,LA,1629645,Kevin Porter Jr.,Kevin,,,15:52,1.0,5.0,0.2,0.0,1.0,0.0,5.0,7.0,0.714,0.0,1.0,1.0,1.0,2.0,1.0,4.0,0.0,7.0,-11.0
12400004,1610612746,LAC,LA,1630538,Bones Hyland,Bones,,,12:39,2.0,8.0,0.25,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,7.0,5.0
12400004,1610612746,LAC,LA,1629599,Amir Coffey,Amir,,,9:53,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,5.0
22400101,1610612746,LAC,LA,1629645,Kevin Porter Jr.,Kevin,,,16:48,2.0,7.0,0.286,1.0,2.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,3.0,7.0,16.0
12400004,1610612746,LAC,LA,1641757,Jordan Miller,Jordan,,,18:08,1.0,3.0,0.333,0.0,1.0,0.0,4.0,6.0,0.667,0.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,6.0,3.0
22400101,1610612746,LAC,LA,1627739,Kris Dunn,Kris,,,28:27,3.0,5.0,0.6,0.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,9.0,4.0,4.0,0.0,2.0,2.0,6.0,20.0
12400004,1610612746,LAC,LA,1630268,Nate Darling,Nate,,,14:07,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,-2.0
22400101,1610612746,LAC,LA,201587,Nicolas Batum,Nicolas,,,15:28,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,3.0,5.0,13.0
12400004,1610612746,LAC,LA,1630539,Kai Jones,Kai,,,21:40,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,6.0,3.0,1.0,2.0,2.0,0.0,4.0,3.0
12400004,1610612746,LAC,LA,1642353,Cam Christie,Cam,,,11:04,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
22400251,1610612746,LAC,LA,1628964,Mo Bamba,Mo,,,7:21,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,-13.0
22400426,1610612746,LAC,LA,201587,Nicolas Batum,Nicolas,,,20:03,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.0,1.0,2.0,1.0,3.0,-2.0
12400004,1610612746,LAC,LA,1629611,Terance Mann,Terance,,,10:09,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,-1.0
12400004,1610612746,LAC,LA,1642484,RayJ Dennis,RayJ,,,11:09,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,-3.0
12400004,1610612746,LAC,LA,1631214,Alondes Williams,Alondes,,,8:03,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22400101,1610612746,LAC,LA,1630539,Kai Jones,Kai,,,4:35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
22400426,1610612746,LAC,LA,1628964,Mo Bamba,Mo,,,12:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0
22400426,1610612746,LAC,LA,1641757,Jordan Miller,Jordan,,,3:34,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-5.0
12400004,1610612746,LAC,LA,1628964,Mo Bamba,Mo,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
12400004,1610612746,LAC,LA,201587,Nicolas Batum,Nicolas,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
12400004,1610612746,LAC,LA,1642280,Trentyn Flowers,Trentyn,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
12400004,1610612746,LAC,LA,202695,Kawhi Leonard,Kawhi,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
12400004,1610612746,LAC,LA,200782,P.J. Tucker,P.J.,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400101,1610612746,LAC,LA,1641738,Kobe Brown,Kobe,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400101,1610612746,LAC,LA,1630538,Bones Hyland,Bones,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400101,1610612746,LAC,LA,1641757,Jordan Miller,Jordan,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400251,1610612746,LAC,LA,1641738,Kobe Brown,Kobe,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
