SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON_DISPLAY
22024,1610612744,GSW,Golden State Warriors,1322400002,2024-07-06,GSW vs. MIA,W,241,105,42,75,0.56,13,31.0,0.419,8,11,0.727,7.0,43.0,50.0,23,7,10,15,16,39.6,2024-25
22024,1610612744,GSW,Golden State Warriors,1322400006,2024-07-07,GSW vs. LAL,W,201,92,34,80,0.425,9,30.0,0.3,15,25,0.6,14.0,41.0,55.0,19,7,8,15,22,24.0,2024-25
22024,1610612744,GSW,Golden State Warriors,1322400012,2024-07-10,GSW vs. SKT,W,240,91,28,62,0.452,10,31.0,0.323,25,32,0.781,5.0,27.0,32.0,20,8,2,15,17,1.0,2024-25
22024,1610612744,GSW,Golden State Warriors,1522400015,2024-07-13,GSW vs. PHX,W,199,90,34,76,0.447,10,32.0,0.313,12,16,0.75,12.0,34.0,46.0,22,11,7,19,20,15.0,2024-25
22024,1610612744,GSW,Golden State Warriors,1522400023,2024-07-14,GSW vs. CHI,W,199,92,27,64,0.422,8,25.0,0.32,30,39,0.769,12.0,28.0,40.0,21,9,6,16,20,6.6,2024-25
22024,1610612744,GSW,Golden State Warriors,1522400045,2024-07-17,GSW @ CLE,W,199,96,33,68,0.485,13,33.0,0.394,17,21,0.81,9.0,36.0,45.0,23,8,1,18,12,6.8,2024-25
22024,1610612744,GSW,Golden State Warriors,1522400059,2024-07-19,GSW @ OKC,W,199,90,31,68,0.456,11,36.0,0.306,17,21,0.81,9.0,28.0,37.0,23,7,3,18,17,9.2,2024-25
22024,1610612744,GSW,Golden State Warriors,1522400070,2024-07-21,GSW @ MIA,L,199,99,36,76,0.474,8,34.0,0.235,19,25,0.76,13.0,34.0,47.0,26,6,2,15,21,-3.0,2024-25
12024,1610612744,GSW,Golden State Warriors,0012400004,2024-10-05,GSW @ LAC,W,238,91,33,98,0.337,11,48.0,0.229,14,19,0.737,19.0,37.0,56.0,24,14,6,20,25,1.0,2024-25
12024,1610612744,GSW,Golden State Warriors,0012400023,2024-10-09,GSW @ SAC,W,239,122,44,82,0.537,28,52.0,0.538,6,13,0.462,4.0,29.0,33.0,34,7,3,13,16,10.0,2024-25
