GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22401117,1610612747,LAL,Los Angeles,203458,Alex Len,Alex,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
12400056,1610612747,LAL,Los Angeles,203076,Anthony Davis,Anthony,C,,26:00,10.0,14.0,0.714,0.0,1.0,0.0,4.0,5.0,0.8,2.0,10.0,12.0,2.0,1.0,1.0,2.0,2.0,24.0,3.0
12400074,1610612747,LAL,Los Angeles,203076,Anthony Davis,Anthony,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400408,1610612747,LAL,Los Angeles,203076,Anthony Davis,Anthony,C,,7:12,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,-7.0
22400644,1610612747,LAL,Los Angeles,203076,Anthony Davis,Anthony,C,,36:20,13.0,23.0,0.565,0.0,3.0,0.0,10.0,12.0,0.833,3.0,10.0,13.0,3.0,3.0,1.0,2.0,2.0,36.0,9.0
12400056,1610612747,LAL,Los Angeles,1642422,Armel Traoré,Armel,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
12400074,1610612747,LAL,Los Angeles,1642422,Armel Traoré,Armel,,,27:40,2.0,8.0,0.25,0.0,3.0,0.0,2.0,4.0,0.5,2.0,5.0,7.0,1.0,1.0,0.0,1.0,2.0,6.0,-39.0
1322400006,1610612747,LAL,Los Angeles,1642422,Armel Traoré,Armel,F,,18:16,2.0,8.0,0.25,1.0,3.0,0.333,6.0,8.0,0.75,4.0,3.0,7.0,1.0,0.0,0.0,1.0,4.0,11.0,-4.0
22400408,1610612747,LAL,Los Angeles,1642422,Armel Traoré,Armel,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400731,1610612747,LAL,Los Angeles,1642422,Armel Traoré,Armel,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
12400056,1610612747,LAL,Los Angeles,1630559,Austin Reaves,Austin,G,,16:46,3.0,8.0,0.375,2.0,6.0,0.333,5.0,6.0,0.833,1.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,13.0,-10.0
12400074,1610612747,LAL,Los Angeles,1630559,Austin Reaves,Austin,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400408,1610612747,LAL,Los Angeles,1630559,Austin Reaves,Austin,G,,36:40,8.0,20.0,0.4,4.0,10.0,0.4,6.0,6.0,1.0,2.0,8.0,10.0,10.0,1.0,0.0,3.0,0.0,26.0,-4.0
22400644,1610612747,LAL,Los Angeles,1630559,Austin Reaves,Austin,G,,39:28,6.0,10.0,0.6,1.0,4.0,0.25,3.0,3.0,1.0,1.0,4.0,5.0,7.0,1.0,0.0,3.0,0.0,16.0,17.0
22400731,1610612747,LAL,Los Angeles,1630559,Austin Reaves,Austin,G,,35:31,4.0,17.0,0.235,0.0,9.0,0.0,15.0,16.0,0.938,1.0,2.0,3.0,4.0,3.0,1.0,4.0,3.0,23.0,2.0
22401117,1610612747,LAL,Los Angeles,1630559,Austin Reaves,Austin,G,,40:03,10.0,20.0,0.5,9.0,16.0,0.563,2.0,3.0,0.667,1.0,5.0,6.0,3.0,1.0,0.0,0.0,5.0,31.0,2.0
1322400006,1610612747,LAL,Los Angeles,1642396,Blake Hinson,Blake,,,27:13,2.0,10.0,0.2,2.0,10.0,0.2,2.0,4.0,0.5,0.0,5.0,5.0,1.0,2.0,0.0,2.0,7.0,8.0,-22.0
12400056,1610612747,LAL,Los Angeles,1642355,Bronny James,Bronny,,,9:07,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
12400074,1610612747,LAL,Los Angeles,1642355,Bronny James,Bronny,F,,35:19,7.0,17.0,0.412,1.0,5.0,0.2,2.0,2.0,1.0,0.0,4.0,4.0,1.0,3.0,1.0,2.0,4.0,17.0,-37.0
1322400006,1610612747,LAL,Los Angeles,1642355,Bronny James,Bronny,,DND - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400408,1610612747,LAL,Los Angeles,1642355,Bronny James,Bronny,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400731,1610612747,LAL,Los Angeles,1642355,Bronny James,Bronny,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22401117,1610612747,LAL,Los Angeles,1642355,Bronny James,Bronny,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
12400056,1610612747,LAL,Los Angeles,1629629,Cam Reddish,Cam,,,8:06,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,-9.0
12400074,1610612747,LAL,Los Angeles,1629629,Cam Reddish,Cam,F,,24:56,1.0,11.0,0.091,1.0,6.0,0.167,3.0,4.0,0.75,1.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,6.0,-25.0
22400408,1610612747,LAL,Los Angeles,1629629,Cam Reddish,Cam,,,22:30,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,4.0,7.0
22400644,1610612747,LAL,Los Angeles,1629629,Cam Reddish,Cam,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
12400056,1610612747,LAL,Los Angeles,1631132,Christian Koloko,Christian,,DND - Coach's Decision,,,,,,,,,,,,,,,,,,,,
12400074,1610612747,LAL,Los Angeles,1631132,Christian Koloko,Christian,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400408,1610612747,LAL,Los Angeles,1631132,Christian Koloko,Christian,,,8:54,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,2.0,7.0
22400644,1610612747,LAL,Los Angeles,1631132,Christian Koloko,Christian,,,0:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22400731,1610612747,LAL,Los Angeles,1631132,Christian Koloko,Christian,,,3:50,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0
22401117,1610612747,LAL,Los Angeles,1631132,Christian Koloko,Christian,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
12400056,1610612747,LAL,Los Angeles,1626174,Christian Wood,Christian,,DND - Coach's Decision,,,,,,,,,,,,,,,,,,,,
12400074,1610612747,LAL,Los Angeles,1626174,Christian Wood,Christian,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
12400056,1610612747,LAL,Los Angeles,1630658,Colin Castleton,Colin,,,7:52,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0
12400074,1610612747,LAL,Los Angeles,1630658,Colin Castleton,Colin,,,27:14,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,1.0,5.0,4.0,4.0,-45.0
1322400006,1610612747,LAL,Los Angeles,1630658,Colin Castleton,Colin,C,,20:13,3.0,9.0,0.333,0.0,0.0,0.0,4.0,4.0,1.0,4.0,6.0,10.0,0.0,1.0,0.0,1.0,3.0,10.0,-13.0
12400056,1610612747,LAL,Los Angeles,1626156,D'Angelo Russell,D'Angelo,G,,29:31,2.0,10.0,0.2,2.0,6.0,0.333,0.0,0.0,0.0,2.0,5.0,7.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0
12400074,1610612747,LAL,Los Angeles,1626156,D'Angelo Russell,D'Angelo,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400408,1610612747,LAL,Los Angeles,1626156,D'Angelo Russell,D'Angelo,,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,,
12400056,1610612747,LAL,Los Angeles,1642261,Dalton Knecht,Dalton,,,21:25,6.0,15.0,0.4,5.0,13.0,0.385,2.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,19.0,-3.0
12400074,1610612747,LAL,Los Angeles,1642261,Dalton Knecht,Dalton,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
1322400006,1610612747,LAL,Los Angeles,1642261,Dalton Knecht,Dalton,G,,22:00,3.0,13.0,0.231,1.0,3.0,0.333,5.0,5.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,12.0,-8.0
22400408,1610612747,LAL,Los Angeles,1642261,Dalton Knecht,Dalton,,,25:18,5.0,9.0,0.556,1.0,5.0,0.2,2.0,2.0,1.0,2.0,5.0,7.0,2.0,0.0,1.0,0.0,0.0,13.0,13.0
22400644,1610612747,LAL,Los Angeles,1642261,Dalton Knecht,Dalton,,,23:19,5.0,9.0,0.556,3.0,7.0,0.429,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,13.0,-10.0
22401117,1610612747,LAL,Los Angeles,1642261,Dalton Knecht,Dalton,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400644,1610612747,LAL,Los Angeles,1627827,Dorian Finney-Smith,Dorian,F,,25:54,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0,20.0
22400731,1610612747,LAL,Los Angeles,1627827,Dorian Finney-Smith,Dorian,G,,33:27,3.0,6.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,7.0,8.0
22401117,1610612747,LAL,Los Angeles,1627827,Dorian Finney-Smith,Dorian,,,29:23,1.0,6.0,0.167,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,-14.0
12400056,1610612747,LAL,Los Angeles,1629216,Gabe Vincent,Gabe,,,14:53,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-5.0
12400074,1610612747,LAL,Los Angeles,1629216,Gabe Vincent,Gabe,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400408,1610612747,LAL,Los Angeles,1629216,Gabe Vincent,Gabe,,,29:21,2.0,7.0,0.286,1.0,6.0,0.167,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,5.0,3.0
22400644,1610612747,LAL,Los Angeles,1629216,Gabe Vincent,Gabe,,,24:42,3.0,8.0,0.375,1.0,6.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,7.0,1.0
22400731,1610612747,LAL,Los Angeles,1629216,Gabe Vincent,Gabe,,,29:33,5.0,8.0,0.625,5.0,8.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,15.0,-3.0
22401117,1610612747,LAL,Los Angeles,1629216,Gabe Vincent,Gabe,,,17:25,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,-14.0
12400074,1610612747,LAL,Los Angeles,1642438,Grayson Murphy,Grayson,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
1322400006,1610612747,LAL,Los Angeles,1642438,Grayson Murphy,Grayson,,,4:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0
12400056,1610612747,LAL,Los Angeles,1641720,Jalen Hood-Schifino,Jalen,,,13:22,0.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,-6.0
12400074,1610612747,LAL,Los Angeles,1641720,Jalen Hood-Schifino,Jalen,G,,31:28,3.0,10.0,0.3,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,7.0,1.0,0.0,6.0,3.0,6.0,-36.0
12400056,1610612747,LAL,Los Angeles,1629020,Jarred Vanderbilt,Jarred,,DND - Coach's Decision,,,,,,,,,,,,,,,,,,,,
12400074,1610612747,LAL,Los Angeles,1629020,Jarred Vanderbilt,Jarred,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400644,1610612747,LAL,Los Angeles,1629020,Jarred Vanderbilt,Jarred,,,12:27,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,3.0,0.0,0.0,3.0,2.0,6.0
