GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22400019,1610612763,MEM,Memphis,1629634,Brandon Clarke,Brandon,C,,12:50,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,1.0,0.0,1.0,1.0,2.0,-16.0
22400366,1610612763,MEM,Memphis,1629634,Brandon Clarke,Brandon,,,24:05,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,2.0,1.0,2.0,1.0,1.0,8.0,27.0
22400485,1610612763,MEM,Memphis,1629634,Brandon Clarke,Brandon,,,26:00,5.0,7.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,1.0,1.0,0.0,4.0,10.0,4.0
22400366,1610612763,MEM,Memphis,1642285,Cam Spencer,Cam,,,8:04,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,-4.0
22400485,1610612763,MEM,Memphis,1642285,Cam Spencer,Cam,,,12:59,3.0,4.0,0.75,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0
22401100,1610612763,MEM,Memphis,1642285,Cam Spencer,Cam,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400485,1610612763,MEM,Memphis,1630658,Colin Castleton,Colin,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400019,1610612763,MEM,Memphis,1630217,Desmond Bane,Desmond,,,27:01,7.0,13.0,0.538,1.0,4.0,0.25,3.0,4.0,0.75,1.0,5.0,6.0,2.0,2.0,0.0,3.0,1.0,18.0,12.0
22400366,1610612763,MEM,Memphis,1630217,Desmond Bane,Desmond,G,,24:15,6.0,9.0,0.667,3.0,5.0,0.6,0.0,0.0,0.0,0.0,4.0,4.0,7.0,1.0,0.0,3.0,1.0,15.0,36.0
22400485,1610612763,MEM,Memphis,1630217,Desmond Bane,Desmond,G,,35:11,9.0,20.0,0.45,2.0,8.0,0.25,2.0,2.0,1.0,0.0,4.0,4.0,10.0,2.0,1.0,8.0,0.0,22.0,-10.0
22401100,1610612763,MEM,Memphis,1630217,Desmond Bane,Desmond,G,,35:02,6.0,15.0,0.4,4.0,10.0,0.4,3.0,3.0,1.0,0.0,4.0,4.0,5.0,2.0,1.0,3.0,0.0,19.0,-13.0
22401100,1610612763,MEM,Memphis,1641713,GG Jackson,GG,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400366,1610612763,MEM,Memphis,1629630,Ja Morant,Ja,G,,17:25,4.0,9.0,0.444,1.0,5.0,0.2,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,9.0,24.0
22401100,1610612763,MEM,Memphis,1629630,Ja Morant,Ja,G,,33:05,14.0,22.0,0.636,5.0,8.0,0.625,3.0,3.0,1.0,0.0,3.0,3.0,6.0,2.0,0.0,6.0,4.0,36.0,-11.0
