GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22400338,1610612750,MIN,Minnesota,1630162,Anthony Edwards,Anthony,G,,34:57,11.0,18.0,0.611,4.0,10.0,0.4,4.0,4.0,1.0,0.0,4.0,4.0,9.0,1.0,2.0,4.0,1.0,30.0,23.0
22400355,1610612750,MIN,Minnesota,1630162,Anthony Edwards,Anthony,G,,36:34,10.0,19.0,0.526,5.0,9.0,0.556,2.0,2.0,1.0,0.0,5.0,5.0,6.0,1.0,0.0,6.0,3.0,27.0,-3.0
22400383,1610612750,MIN,Minnesota,1630162,Anthony Edwards,Anthony,G,,39:05,6.0,20.0,0.3,4.0,11.0,0.364,3.0,4.0,0.75,1.0,6.0,7.0,5.0,0.0,0.0,1.0,4.0,19.0,-1.0
22400565,1610612750,MIN,Minnesota,1630162,Anthony Edwards,Anthony,G,,40:54,7.0,19.0,0.368,4.0,9.0,0.444,10.0,11.0,0.909,1.0,7.0,8.0,2.0,1.0,1.0,5.0,1.0,28.0,-2.0
42400231,1610612750,MIN,Minnesota,1630162,Anthony Edwards,Anthony,G,,41:44,9.0,22.0,0.409,1.0,5.0,0.2,4.0,5.0,0.8,1.0,13.0,14.0,2.0,3.0,1.0,3.0,1.0,23.0,-4.0
42400232,1610612750,MIN,Minnesota,1630162,Anthony Edwards,Anthony,G,,33:54,6.0,13.0,0.462,2.0,4.0,0.5,6.0,8.0,0.75,0.0,9.0,9.0,5.0,3.0,1.0,1.0,1.0,20.0,21.0
42400233,1610612750,MIN,Minnesota,1630162,Anthony Edwards,Anthony,G,,43:49,13.0,28.0,0.464,5.0,14.0,0.357,5.0,8.0,0.625,1.0,3.0,4.0,4.0,0.0,1.0,3.0,0.0,36.0,-4.0
42400234,1610612750,MIN,Minnesota,1630162,Anthony Edwards,Anthony,G,,33:17,11.0,21.0,0.524,6.0,11.0,0.545,2.0,3.0,0.667,0.0,4.0,4.0,5.0,2.0,0.0,3.0,5.0,30.0,6.0
42400235,1610612750,MIN,Minnesota,1630162,Anthony Edwards,Anthony,G,,41:09,8.0,15.0,0.533,5.0,9.0,0.556,1.0,2.0,0.5,1.0,6.0,7.0,12.0,1.0,3.0,7.0,3.0,22.0,20.0
22400338,1610612750,MIN,Minnesota,1630227,Daishen Nix,Daishen,,,2:12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.0
22400355,1610612750,MIN,Minnesota,1630227,Daishen Nix,Daishen,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400338,1610612750,MIN,Minnesota,1628978,Donte DiVincenzo,Donte,,,24:51,2.0,7.0,0.286,1.0,5.0,0.2,0.0,0.0,0.0,0.0,4.0,4.0,6.0,1.0,1.0,1.0,1.0,5.0,9.0
22400355,1610612750,MIN,Minnesota,1628978,Donte DiVincenzo,Donte,,,17:45,3.0,9.0,0.333,2.0,8.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,8.0,-11.0
22400383,1610612750,MIN,Minnesota,1628978,Donte DiVincenzo,Donte,,,25:33,7.0,12.0,0.583,3.0,6.0,0.5,2.0,3.0,0.667,1.0,3.0,4.0,4.0,2.0,0.0,2.0,1.0,19.0,-5.0
22400565,1610612750,MIN,Minnesota,1628978,Donte DiVincenzo,Donte,G,,39:13,9.0,19.0,0.474,6.0,12.0,0.5,4.0,6.0,0.667,4.0,2.0,6.0,9.0,1.0,0.0,0.0,3.0,28.0,0.0
42400231,1610612750,MIN,Minnesota,1628978,Donte DiVincenzo,Donte,,,32:32,3.0,11.0,0.273,1.0,7.0,0.143,0.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,4.0,3.0,7.0,-6.0
42400232,1610612750,MIN,Minnesota,1628978,Donte DiVincenzo,Donte,,,25:34,3.0,9.0,0.333,3.0,8.0,0.375,0.0,0.0,0.0,3.0,0.0,3.0,5.0,1.0,0.0,2.0,3.0,9.0,18.0
42400233,1610612750,MIN,Minnesota,1628978,Donte DiVincenzo,Donte,,,15:49,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,4.0,2.0,-14.0
42400234,1610612750,MIN,Minnesota,1628978,Donte DiVincenzo,Donte,,,25:40,2.0,7.0,0.286,2.0,4.0,0.5,3.0,4.0,0.75,0.0,3.0,3.0,3.0,1.0,0.0,2.0,4.0,9.0,-9.0
42400235,1610612750,MIN,Minnesota,1628978,Donte DiVincenzo,Donte,,,26:27,5.0,7.0,0.714,2.0,4.0,0.5,1.0,2.0,0.5,0.0,2.0,2.0,6.0,4.0,0.0,1.0,3.0,13.0,7.0
22400338,1610612750,MIN,Minnesota,1630183,Jaden McDaniels,Jaden,F,,29:32,4.0,11.0,0.364,2.0,5.0,0.4,0.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,3.0,10.0,5.0
22400355,1610612750,MIN,Minnesota,1630183,Jaden McDaniels,Jaden,F,,36:04,4.0,9.0,0.444,1.0,3.0,0.333,0.0,0.0,0.0,1.0,3.0,4.0,3.0,2.0,0.0,0.0,4.0,9.0,0.0
22400383,1610612750,MIN,Minnesota,1630183,Jaden McDaniels,Jaden,F,,35:07,4.0,12.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,5.0,2.0,7.0,2.0,1.0,0.0,1.0,4.0,10.0,-12.0
22400565,1610612750,MIN,Minnesota,1630183,Jaden McDaniels,Jaden,F,,35:32,6.0,9.0,0.667,2.0,3.0,0.667,0.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,2.0,0.0,5.0,14.0,-8.0
42400231,1610612750,MIN,Minnesota,1630183,Jaden McDaniels,Jaden,F,,37:38,6.0,12.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,1.0,0.0,2.0,12.0,0.0
42400232,1610612750,MIN,Minnesota,1630183,Jaden McDaniels,Jaden,F,,33:03,7.0,10.0,0.7,1.0,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,0.0,3.0,3.0,1.0,1.0,16.0,20.0
42400233,1610612750,MIN,Minnesota,1630183,Jaden McDaniels,Jaden,F,,42:11,4.0,7.0,0.571,3.0,4.0,0.75,4.0,4.0,1.0,0.0,6.0,6.0,1.0,1.0,2.0,2.0,2.0,15.0,11.0
42400234,1610612750,MIN,Minnesota,1630183,Jaden McDaniels,Jaden,F,,40:18,4.0,8.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,1.0,12.0,13.0,2.0,1.0,1.0,1.0,5.0,10.0,15.0
42400235,1610612750,MIN,Minnesota,1630183,Jaden McDaniels,Jaden,F,,41:05,6.0,14.0,0.429,0.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,4.0,0.0,3.0,3.0,14.0,2.0
22400565,1610612750,MIN,Minnesota,1641740,Jaylen Clark,Jaylen,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
42400231,1610612750,MIN,Minnesota,1641740,Jaylen Clark,Jaylen,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
