GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22400974,1610612752,NYK,New York,1641817,Anton Watson,Anton,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400885,1610612752,NYK,New York,1626166,Cameron Payne,Cameron,,,10:43,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,2.0,5.0,3.0
22400974,1610612752,NYK,New York,1626166,Cameron Payne,Cameron,,,10:18,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-6.0
22400885,1610612752,NYK,New York,1626153,Delon Wright,Delon,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400974,1610612752,NYK,New York,1626153,Delon Wright,Delon,,DNP - Injury/Illness,,,,,,,,,,,,,,,,,,,,
22400885,1610612752,NYK,New York,1628973,Jalen Brunson,Jalen,G,,37:17,9.0,18.0,0.5,1.0,7.0,0.143,6.0,7.0,0.857,0.0,2.0,2.0,7.0,1.0,0.0,4.0,1.0,25.0,-15.0
22400885,1610612752,NYK,New York,1628404,Josh Hart,Josh,F,,33:05,1.0,8.0,0.125,0.0,4.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,3.0,0.0,0.0,2.0,1.0,2.0,-22.0
22400974,1610612752,NYK,New York,1628404,Josh Hart,Josh,F,,38:31,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,7.0,1.0,1.0,2.0,0.0,0.0,-5.0
22400974,1610612752,NYK,New York,1626157,Karl-Anthony Towns,Karl-Anthony,C,,29:50,12.0,21.0,0.571,3.0,5.0,0.6,2.0,2.0,1.0,5.0,7.0,12.0,3.0,0.0,1.0,2.0,6.0,29.0,-1.0
22400885,1610612752,NYK,New York,1629013,Landry Shamet,Landry,,,12:18,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,9.0
22400974,1610612752,NYK,New York,1629013,Landry Shamet,Landry,,,20:34,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,-8.0
22400885,1610612752,NYK,New York,1628969,Mikal Bridges,Mikal,G,,35:42,7.0,15.0,0.467,1.0,5.0,0.2,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,1.0,1.0,3.0,15.0,-21.0
22400974,1610612752,NYK,New York,1628969,Mikal Bridges,Mikal,G,,38:02,8.0,14.0,0.571,1.0,3.0,0.333,2.0,2.0,1.0,0.0,6.0,6.0,3.0,0.0,0.0,4.0,1.0,19.0,2.0
22400885,1610612752,NYK,New York,1630540,Miles McBride,Miles,,,23:48,2.0,7.0,0.286,0.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,5.0,1.0,0.0,0.0,2.0,6.0,8.0
22400974,1610612752,NYK,New York,1630540,Miles McBride,Miles,G,,37:43,8.0,17.0,0.471,3.0,6.0,0.5,0.0,0.0,0.0,1.0,4.0,5.0,4.0,0.0,1.0,2.0,3.0,19.0,3.0
22400885,1610612752,NYK,New York,1629011,Mitchell Robinson,Mitchell,C,,15:19,3.0,6.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,7.0,-10.0
22400974,1610612752,NYK,New York,1629011,Mitchell Robinson,Mitchell,,,16:22,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0
22400885,1610612752,NYK,New York,1628384,OG Anunoby,OG,F,,41:46,11.0,19.0,0.579,4.0,9.0,0.444,3.0,5.0,0.6,2.0,1.0,3.0,3.0,0.0,0.0,4.0,4.0,29.0,-10.0
22400974,1610612752,NYK,New York,1628384,OG Anunoby,OG,F,,38:19,7.0,15.0,0.467,2.0,3.0,0.667,7.0,9.0,0.778,3.0,6.0,9.0,2.0,3.0,1.0,2.0,3.0,23.0,-1.0
22400974,1610612752,NYK,New York,200782,P.J. Tucker,P.J.,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400885,1610612752,NYK,New York,1642359,Pacôme Dadiet,Pacôme,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400885,1610612752,NYK,New York,1630173,Precious Achiuwa,Precious,,,30:02,4.0,10.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,4.0,11.0,15.0,0.0,0.0,1.0,0.0,2.0,8.0,-2.0
22400974,1610612752,NYK,New York,1630173,Precious Achiuwa,Precious,,,10:22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-3.0
22400885,1610612752,NYK,New York,1642278,Tyler Kolek,Tyler,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400974,1610612752,NYK,New York,1642278,Tyler Kolek,Tyler,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
