GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22400708,1610612753,ORL,Orlando,1641710,Anthony Black,Anthony,G,,16:14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,-11.0
22400845,1610612753,ORL,Orlando,1641710,Anthony Black,Anthony,,,20:20,2.0,10.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,5.0,6.0
22400845,1610612753,ORL,Orlando,1631216,Caleb Houstan,Caleb,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400708,1610612753,ORL,Orlando,1630175,Cole Anthony,Cole,,,28:21,11.0,21.0,0.524,3.0,9.0,0.333,1.0,1.0,1.0,1.0,4.0,5.0,3.0,2.0,1.0,2.0,5.0,26.0,-7.0
22400845,1610612753,ORL,Orlando,1630175,Cole Anthony,Cole,G,,26:25,3.0,6.0,0.5,1.0,1.0,1.0,4.0,4.0,1.0,3.0,4.0,7.0,4.0,0.0,3.0,2.0,3.0,11.0,-7.0
22400708,1610612753,ORL,Orlando,202709,Cory Joseph,Cory,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400845,1610612753,ORL,Orlando,202709,Cory Joseph,Cory,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400708,1610612753,ORL,Orlando,1630532,Franz Wagner,Franz,F,,36:47,9.0,19.0,0.474,1.0,5.0,0.2,2.0,3.0,0.667,1.0,2.0,3.0,5.0,2.0,0.0,2.0,6.0,21.0,-8.0
22400845,1610612753,ORL,Orlando,1630532,Franz Wagner,Franz,F,,38:50,11.0,22.0,0.5,1.0,4.0,0.25,4.0,5.0,0.8,0.0,2.0,2.0,4.0,3.0,0.0,3.0,3.0,27.0,4.0
22400708,1610612753,ORL,Orlando,203914,Gary Harris,Gary,,,14:18,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,12.0
22400845,1610612753,ORL,Orlando,203914,Gary Harris,Gary,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400708,1610612753,ORL,Orlando,1629048,Goga Bitadze,Goga,C,,20:09,2.0,8.0,0.25,0.0,0.0,0.0,2.0,5.0,0.4,6.0,8.0,14.0,1.0,1.0,1.0,2.0,1.0,6.0,-19.0
22400845,1610612753,ORL,Orlando,1629048,Goga Bitadze,Goga,,,21:30,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,5.0,1.0,0.0,0.0,1.0,2.0,7.0,0.0
22400708,1610612753,ORL,Orlando,1641724,Jett Howard,Jett,,,4:50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0
22400845,1610612753,ORL,Orlando,1641724,Jett Howard,Jett,,,20:19,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,6.0,-9.0
22400708,1610612753,ORL,Orlando,1628371,Jonathan Isaac,Jonathan,,,10:34,1.0,7.0,0.143,0.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,1.0,1.0,0.0,0.0,3.0,2.0,19.0
22400845,1610612753,ORL,Orlando,1628371,Jonathan Isaac,Jonathan,,,13:10,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,3.0,4.0,7.0,1.0,0.0,0.0,1.0,1.0,7.0,1.0
22400708,1610612753,ORL,Orlando,203484,Kentavious Caldwell-Pope,Kentavious,G,,32:37,4.0,9.0,0.444,1.0,3.0,0.333,0.0,0.0,0.0,2.0,4.0,6.0,1.0,1.0,0.0,0.0,3.0,9.0,-20.0
22400845,1610612753,ORL,Orlando,203484,Kentavious Caldwell-Pope,Kentavious,G,,34:16,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,-14.0
22400845,1610612753,ORL,Orlando,1630644,Mac McClung,Mac,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400708,1610612753,ORL,Orlando,1631094,Paolo Banchero,Paolo,F,,37:26,9.0,24.0,0.375,0.0,6.0,0.0,0.0,1.0,0.0,1.0,5.0,6.0,3.0,1.0,0.0,2.0,2.0,18.0,-24.0
22400845,1610612753,ORL,Orlando,1631094,Paolo Banchero,Paolo,F,,36:05,16.0,27.0,0.593,4.0,10.0,0.4,5.0,8.0,0.625,0.0,6.0,6.0,5.0,2.0,0.0,5.0,4.0,41.0,-12.0
22400708,1610612753,ORL,Orlando,1630243,Trevelin Queen,Trevelin,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400845,1610612753,ORL,Orlando,1630243,Trevelin Queen,Trevelin,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
