GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22400467,1610612755,PHI,Philadelphia,1641737,Adem Bona,Adem,,,9:11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,-4.0
22400864,1610612755,PHI,Philadelphia,1641737,Adem Bona,Adem,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400864,1610612755,PHI,Philadelphia,203083,Andre Drummond,Andre,C,,20:51,3.0,5.0,0.6,0.0,1.0,0.0,4.0,6.0,0.667,5.0,9.0,14.0,2.0,0.0,0.0,2.0,4.0,10.0,3.0
22400467,1610612755,PHI,Philadelphia,1628997,Caleb Martin,Caleb,F,,21:42,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,-19.0
22400467,1610612755,PHI,Philadelphia,201569,Eric Gordon,Eric,,,14:18,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,-10.0
22400467,1610612755,PHI,Philadelphia,1627824,Guerschon Yabusele,Guerschon,,,31:26,4.0,6.0,0.667,1.0,2.0,0.5,4.0,4.0,1.0,2.0,4.0,6.0,2.0,0.0,0.0,0.0,2.0,13.0,-20.0
22400864,1610612755,PHI,Philadelphia,1627824,Guerschon Yabusele,Guerschon,,,27:09,5.0,8.0,0.625,5.0,7.0,0.714,3.0,4.0,0.75,1.0,5.0,6.0,5.0,0.0,0.0,2.0,1.0,18.0,4.0
22400864,1610612755,PHI,Philadelphia,1630215,Jared Butler,Jared,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400467,1610612755,PHI,Philadelphia,1630288,Jeff Dowtin Jr.,Jeff,,,15:07,2.0,5.0,0.4,0.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,6.0,-9.0
22400864,1610612755,PHI,Philadelphia,1630288,Jeff Dowtin Jr.,Jeff,,,13:49,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,12.0
22400467,1610612755,PHI,Philadelphia,203954,Joel Embiid,Joel,C,,30:58,8.0,19.0,0.421,1.0,3.0,0.333,11.0,14.0,0.786,3.0,11.0,14.0,2.0,1.0,2.0,2.0,2.0,28.0,-25.0
22400467,1610612755,PHI,Philadelphia,1642348,Justin Edwards,Justin,,,9:11,2.0,5.0,0.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,-4.0
22400864,1610612755,PHI,Philadelphia,1642348,Justin Edwards,Justin,,,15:42,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,-1.0
22400864,1610612755,PHI,Philadelphia,1626162,Kelly Oubre Jr.,Kelly,F,,41:44,6.0,13.0,0.462,3.0,6.0,0.5,5.0,7.0,0.714,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,20.0,1.0
22400467,1610612755,PHI,Philadelphia,200768,Kyle Lowry,Kyle,G,,9:36,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,-14.0
22400864,1610612755,PHI,Philadelphia,1629022,Lonnie Walker IV,Lonnie,,,5:39,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0
22400467,1610612755,PHI,Philadelphia,202331,Paul George,Paul,F,,32:10,7.0,12.0,0.583,3.0,6.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,19.0,-26.0
22400864,1610612755,PHI,Philadelphia,202331,Paul George,Paul,F,,38:34,6.0,13.0,0.462,3.0,5.0,0.6,2.0,2.0,1.0,1.0,7.0,8.0,4.0,2.0,1.0,3.0,4.0,17.0,14.0
22400864,1610612755,PHI,Philadelphia,1629656,Quentin Grimes,Quentin,G,,36:43,18.0,24.0,0.75,6.0,9.0,0.667,2.0,8.0,0.25,1.0,5.0,6.0,1.0,3.0,1.0,2.0,3.0,44.0,-5.0
22400467,1610612755,PHI,Philadelphia,202704,Reggie Jackson,Reggie,,,7:30,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,-5.0
22400467,1610612755,PHI,Philadelphia,1641741,Ricky Council IV,Ricky,,,26:48,4.0,8.0,0.5,1.0,4.0,0.25,3.0,4.0,0.75,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,-10.0
22400864,1610612755,PHI,Philadelphia,1641741,Ricky Council IV,Ricky,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400467,1610612755,PHI,Philadelphia,1630178,Tyrese Maxey,Tyrese,G,,32:04,4.0,13.0,0.308,2.0,6.0,0.333,4.0,4.0,1.0,0.0,3.0,3.0,6.0,4.0,2.0,3.0,2.0,14.0,-24.0
22400864,1610612755,PHI,Philadelphia,1630178,Tyrese Maxey,Tyrese,G,,39:49,2.0,14.0,0.143,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,11.0,2.0,0.0,2.0,1.0,5.0,2.0
