GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
12400023,1610612758,SAC,Sacramento,203458,Alex Len,Alex,,,21:07,5.0,7.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,5.0,1.0,0.0,0.0,3.0,10.0,-9.0
12400033,1610612758,SAC,Sacramento,203458,Alex Len,Alex,,,12:29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0
22400492,1610612758,SAC,Sacramento,203458,Alex Len,Alex,,,9:37,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,-11.0
22400619,1610612758,SAC,Sacramento,203458,Alex Len,Alex,,,6:26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0
12400023,1610612758,SAC,Sacramento,1642407,Boogie Ellis,Boogie,,,16:07,4.0,10.0,0.4,2.0,6.0,0.333,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,10.0,-4.0
12400033,1610612758,SAC,Sacramento,1642407,Boogie Ellis,Boogie,,,10:15,4.0,7.0,0.571,3.0,5.0,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,11.0,-6.0
12400023,1610612758,SAC,Sacramento,1630271,Brodric Thomas,Brodric,,,7:52,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,-2.0
12400033,1610612758,SAC,Sacramento,1630271,Brodric Thomas,Brodric,,,1:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
12400023,1610612758,SAC,Sacramento,1641732,Colby Jones,Colby,,,16:08,1.0,6.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,-10.0
12400033,1610612758,SAC,Sacramento,1641732,Colby Jones,Colby,,,21:25,1.0,6.0,0.167,0.0,3.0,0.0,1.0,4.0,0.25,1.0,1.0,2.0,2.0,0.0,0.0,0.0,5.0,3.0,-3.0
12400023,1610612758,SAC,Sacramento,1628368,De'Aaron Fox,De'Aaron,G,,19:19,5.0,10.0,0.5,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,11.0,6.0
12400033,1610612758,SAC,Sacramento,1628368,De'Aaron Fox,De'Aaron,G,,25:41,6.0,12.0,0.5,4.0,6.0,0.667,3.0,4.0,0.75,0.0,6.0,6.0,3.0,0.0,0.0,0.0,2.0,19.0,15.0
22400619,1610612758,SAC,Sacramento,1628368,De'Aaron Fox,De'Aaron,G,,36:27,2.0,11.0,0.182,0.0,3.0,0.0,10.0,10.0,1.0,0.0,5.0,5.0,5.0,1.0,0.0,0.0,3.0,14.0,10.0
12400023,1610612758,SAC,Sacramento,201942,DeMar DeRozan,DeMar,F,,15:20,6.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,15.0,8.0
12400033,1610612758,SAC,Sacramento,201942,DeMar DeRozan,DeMar,F,,25:37,6.0,14.0,0.429,1.0,3.0,0.333,3.0,4.0,0.75,0.0,3.0,3.0,6.0,1.0,1.0,0.0,0.0,16.0,19.0
22400492,1610612758,SAC,Sacramento,201942,DeMar DeRozan,DeMar,F,,31:23,5.0,14.0,0.357,0.0,4.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,12.0,17.0
22400619,1610612758,SAC,Sacramento,201942,DeMar DeRozan,DeMar,F,,39:10,12.0,21.0,0.571,3.0,6.0,0.5,5.0,6.0,0.833,0.0,5.0,5.0,2.0,2.0,2.0,1.0,3.0,32.0,26.0
22400805,1610612758,SAC,Sacramento,201942,DeMar DeRozan,DeMar,F,,33:52,10.0,14.0,0.714,4.0,7.0,0.571,10.0,10.0,1.0,0.0,4.0,4.0,6.0,1.0,0.0,1.0,1.0,34.0,-8.0
22400957,1610612758,SAC,Sacramento,201942,DeMar DeRozan,DeMar,F,,34:58,8.0,13.0,0.615,0.0,2.0,0.0,7.0,8.0,0.875,0.0,5.0,5.0,7.0,1.0,0.0,1.0,1.0,23.0,-11.0
12400033,1610612758,SAC,Sacramento,1642269,Devin Carter,Devin,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400492,1610612758,SAC,Sacramento,1642269,Devin Carter,Devin,,,23:27,4.0,11.0,0.364,2.0,7.0,0.286,3.0,4.0,0.75,1.0,6.0,7.0,2.0,1.0,0.0,2.0,1.0,13.0,9.0
22400619,1610612758,SAC,Sacramento,1642269,Devin Carter,Devin,,,3:30,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
22400805,1610612758,SAC,Sacramento,1642269,Devin Carter,Devin,,,2:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
22400957,1610612758,SAC,Sacramento,1642269,Devin Carter,Devin,,,7:25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,5.0,-10.0
12400023,1610612758,SAC,Sacramento,1627734,Domantas Sabonis,Domantas,C,,17:19,5.0,7.0,0.714,0.0,0.0,0.0,1.0,2.0,0.5,0.0,8.0,8.0,4.0,0.0,0.0,2.0,1.0,11.0,-1.0
12400033,1610612758,SAC,Sacramento,1627734,Domantas Sabonis,Domantas,C,,25:16,5.0,9.0,0.556,0.0,3.0,0.0,3.0,5.0,0.6,5.0,8.0,13.0,4.0,2.0,0.0,2.0,4.0,13.0,-4.0
22400492,1610612758,SAC,Sacramento,1627734,Domantas Sabonis,Domantas,C,,29:51,10.0,13.0,0.769,1.0,2.0,0.5,1.0,2.0,0.5,3.0,10.0,13.0,7.0,0.0,0.0,0.0,3.0,22.0,36.0
22400619,1610612758,SAC,Sacramento,1627734,Domantas Sabonis,Domantas,C,,38:41,8.0,12.0,0.667,2.0,4.0,0.5,8.0,8.0,1.0,3.0,15.0,18.0,3.0,0.0,0.0,3.0,2.0,26.0,11.0
22400805,1610612758,SAC,Sacramento,1627734,Domantas Sabonis,Domantas,C,,31:32,6.0,10.0,0.6,1.0,3.0,0.333,1.0,2.0,0.5,3.0,11.0,14.0,9.0,1.0,0.0,4.0,1.0,14.0,-2.0
22400492,1610612758,SAC,Sacramento,203926,Doug McDermott,Doug,,,6:39,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,6.0,-2.0
22400619,1610612758,SAC,Sacramento,203926,Doug McDermott,Doug,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400805,1610612758,SAC,Sacramento,203926,Doug McDermott,Doug,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400957,1610612758,SAC,Sacramento,203926,Doug McDermott,Doug,,,3:22,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
12400023,1610612758,SAC,Sacramento,1642403,Isaac Jones,Isaac,,,19:30,4.0,7.0,0.571,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,10.0,-11.0
12400033,1610612758,SAC,Sacramento,1642403,Isaac Jones,Isaac,,,17:43,2.0,7.0,0.286,0.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,2.0,1.0,0.0,1.0,3.0,4.0,-27.0
22400957,1610612758,SAC,Sacramento,1642403,Isaac Jones,Isaac,,,3:22,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-6.0
12400023,1610612758,SAC,Sacramento,1642384,Isaiah Crawford,Isaiah,,,11:44,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0
12400033,1610612758,SAC,Sacramento,1642384,Isaiah Crawford,Isaiah,,,18:26,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,4.0,5.0,-9.0
22400805,1610612758,SAC,Sacramento,1642384,Isaiah Crawford,Isaiah,,,3:35,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-5.0
22400957,1610612758,SAC,Sacramento,1642384,Isaiah Crawford,Isaiah,,,3:22,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
22400492,1610612758,SAC,Sacramento,203109,Jae Crowder,Jae,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400619,1610612758,SAC,Sacramento,203109,Jae Crowder,Jae,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400805,1610612758,SAC,Sacramento,203109,Jae Crowder,Jae,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400957,1610612758,SAC,Sacramento,203109,Jae Crowder,Jae,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400805,1610612758,SAC,Sacramento,1631222,Jake LaRavia,Jake,,,16:01,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,-18.0
22400957,1610612758,SAC,Sacramento,1631222,Jake LaRavia,Jake,,,21:17,5.0,7.0,0.714,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,-17.0
12400023,1610612758,SAC,Sacramento,1629667,Jalen McDaniels,Jalen,,,20:55,2.0,8.0,0.25,0.0,4.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,6.0,-13.0
12400033,1610612758,SAC,Sacramento,1629667,Jalen McDaniels,Jalen,,,4:12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
22400805,1610612758,SAC,Sacramento,202685,Jonas Valančiūnas,Jonas,,,9:05,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,6.0,-12.0
22400957,1610612758,SAC,Sacramento,202685,Jonas Valančiūnas,Jonas,C,,14:01,2.0,7.0,0.286,0.0,0.0,0.0,1.0,2.0,0.5,1.0,8.0,9.0,0.0,0.0,1.0,0.0,2.0,5.0,-17.0
12400033,1610612758,SAC,Sacramento,1629162,Jordan McLaughlin,Jordan,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
