GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22401086,1610612759,SAS,San Antonio,202687,Bismack Biyombo,Bismack,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22401163,1610612759,SAS,San Antonio,202687,Bismack Biyombo,Bismack,C,,10:44,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,-19.0
22400269,1610612759,SAS,San Antonio,1631104,Blake Wesley,Blake,,,13:37,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,7.0,8.0
22401086,1610612759,SAS,San Antonio,1631104,Blake Wesley,Blake,,,26:51,2.0,5.0,0.4,0.0,2.0,0.0,1.0,4.0,0.25,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,5.0,-30.0
22401163,1610612759,SAS,San Antonio,1631104,Blake Wesley,Blake,,,19:17,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,14.0
22400269,1610612759,SAS,San Antonio,1629646,Charles Bassey,Charles,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22401086,1610612759,SAS,San Antonio,1629646,Charles Bassey,Charles,,,9:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-7.0
22401163,1610612759,SAS,San Antonio,1629646,Charles Bassey,Charles,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22400269,1610612759,SAS,San Antonio,101108,Chris Paul,Chris,G,,28:37,3.0,7.0,0.429,2.0,4.0,0.5,1.0,1.0,1.0,0.0,3.0,3.0,7.0,0.0,2.0,0.0,2.0,9.0,-5.0
22401086,1610612759,SAS,San Antonio,101108,Chris Paul,Chris,G,,17:37,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,3.0,2.0,6.0,-24.0
22401163,1610612759,SAS,San Antonio,101108,Chris Paul,Chris,G,,29:05,4.0,6.0,0.667,3.0,5.0,0.6,1.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,0.0,3.0,3.0,12.0,-9.0
22401163,1610612759,SAS,San Antonio,1630561,David Duke Jr.,David,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22401086,1610612759,SAS,San Antonio,1630170,Devin Vassell,Devin,G,,20:29,5.0,10.0,0.5,2.0,5.0,0.4,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,12.0,-14.0
22401163,1610612759,SAS,San Antonio,1630170,Devin Vassell,Devin,F,,27:44,4.0,11.0,0.364,3.0,9.0,0.333,0.0,0.0,0.0,1.0,4.0,5.0,3.0,1.0,0.0,2.0,2.0,11.0,-9.0
22400269,1610612759,SAS,San Antonio,203084,Harrison Barnes,Harrison,F,,31:42,7.0,8.0,0.875,2.0,3.0,0.667,6.0,8.0,0.75,2.0,6.0,8.0,2.0,1.0,1.0,0.0,1.0,22.0,-4.0
22401086,1610612759,SAS,San Antonio,203084,Harrison Barnes,Harrison,F,,17:30,2.0,6.0,0.333,1.0,3.0,0.333,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,6.0,-17.0
22401163,1610612759,SAS,San Antonio,203084,Harrison Barnes,Harrison,F,,35:43,6.0,9.0,0.667,6.0,9.0,0.667,2.0,2.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,1.0,4.0,20.0,3.0
22401163,1610612759,SAS,San Antonio,1631127,Harrison Ingram,Harrison,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
